MHCI	MHCII	Coactivation_molecules	Effector_cells	T_cell_traffic	NK_cells	T_cells	B_cells	M1_signatures	Th1_signature	Antitumor_cytokines	Checkpoint_inhibition	Treg	T_reg_traffic	Neutrophil_signature	Granulocyte_traffic	MDSC	MDSC_traffic	Macrophages	Macrophage_DC_traffic	Th2_signature	Protumor_cytokines	CAF	Matrix	Matrix_remodeling	Angiogenesis	Endothelium	Proliferation_rate	EMT_signature	Class
CRUK0001_SU_T1-R1	0.952013500346656	0.866253446664403	0.552839952858147	0.844819957533258	0.812132513955677	0.234646395476958	1.58674099331951	2.11043449223593	0.145437271233151	0.643902077731706	0.375475742685283	1.01509454389727	0.569900461925458	0.39368242205494	-0.370749051478097	-1.80549799468821	0.126365619735439	0.0444166006439893	1.11563010885889	0.515980833821601	0.925940334110976	-0.382232452159216	0.257950000282985	0.0467254755049401	-1.07329247409003	-0.848094711757142	0.559639247202429	-0.521372100215478	-0.554121039062678	3
CRUK0001_SU_T1-R3	0.576799979695199	0.676146655873407	-0.0816756945405725	0.121912407249324	0.440200274627263	0.245300528477709	0.395349484955519	0.211595319754511	-0.177742781535963	-0.0214713220082379	-0.401418173924177	0.387298627024729	-0.652944254190319	-0.266624041241403	0.317098224984265	-0.11905827263817	1.00497056786058	0.605065728150761	0.860906188257836	0.776867439991893	-0.00833176223010671	1.62271183828541	1.28143126317707	1.29697648295833	0.344859596708477	1.52461716284948	2.12962574654169	-0.770155073236487	0.816212995637696	2
CRUK0003_SU_T1-R1	-0.10639608283871	0.795923182273615	-0.256202165296723	-0.504892992468004	0.041004480622748	-0.761231958274604	0.478817629497684	-0.283648817261505	-1.65450620898525	0.18261002646082	-0.856961779668145	-0.627396139435732	-0.0119325839379574	0.799095659846057	-1.17075684837405	-0.81441338404271	0.0488555666543365	-0.525352166420945	-0.20283713237409	-0.451261244147324	0.14486645695382	-0.959909141516513	-0.0834403821545663	-0.426445476314795	-0.664806899553136	-0.573735465418283	0.00375978419040541	-1.86835023409808	-1.18558978800765	3
CRUK0003_SU_T1-R2	-0.878542113460506	0.795287012305557	-0.225488901059259	-0.962678350628809	-0.789985612767391	-1.26540000983844	0.0218644461079175	-1.19061950295763	-1.88390566909158	0.187239725986843	-1.0841769210624	-0.806567387273615	0.375965523777016	0.733230009272738	-0.960716248104227	-0.87395187656784	0.312405622224386	-0.650280876862758	-0.356275452696123	-0.77988466377611	0.726501560327229	-0.543241486632383	-0.555139812761916	0.0465183593987747	-0.729835549051772	-1.00370814744699	-0.344724398793522	-1.98345890777411	-1.29095926212529	2
CRUK0003_SU_T1-R3	0.227839126202936	0.859221194863489	0.467033790557772	-0.562008846146172	0.370098581681611	-0.798578689157993	0.113538016834339	0.0421415440067808	-0.658744689264404	-0.384968044086181	-0.160222390438971	-0.217729441002726	-0.422299719604342	0.0873955078814383	0.621706925270047	-0.318245763572211	1.65842013467952	0.490096532591577	1.12111315619164	0.689870396315351	-0.226216589601675	1.84293060801107	1.20253432760514	1.24289886405117	0.865450242038838	1.261993076689	1.38070010048868	-1.68103148214645	0.432320690425884	2
CRUK0003_SU_T1-R4	-0.230152148045702	0.816553542475725	-0.57676617861643	-0.79209158544537	-0.310048502361772	-1.01185005035825	-0.101618737375026	-0.987829035286701	-1.99591051650821	-0.63032041248413	-1.37735329653755	-0.929114153367938	-0.11683514909166	0.33206407621848	-0.895535740426009	-1.25838742659538	-0.189248899212329	-0.649981139033737	-0.466875661814481	-0.763029705641568	-0.456100766798034	-0.971331329805638	0.365986305439227	0.18230492734784	-0.317473930358862	0.497119132317398	0.874497850487662	-1.85048546784259	-0.977135662080147	3
CRUK0003_SU_T1-R6	0.472050091410853	0.872727346949418	0.551478377653364	-0.0867599977744517	0.245568597334141	-0.311198202517318	1.13162113032008	-0.00351794106202845	-0.231932984997424	-0.016224598021346	0.147684030143428	-0.10487486404904	0.739982493552951	1.67745556546919	0.862543344934289	-0.192145278092023	1.64670815545501	1.06368769636687	1.0008487961621	0.680241095114462	1.10650082266383	1.53330015193473	0.985593045096761	1.44199992825319	0.618490148197697	0.710885192824272	0.999109987864948	-1.37811875929975	-0.0159694370143534	3
CRUK0004_BP_LN01	0.437537438972935	0.891875333148199	0.249359214900759	-0.432486400206156	0.154016298210081	-0.730834352587989	-0.00247627299309875	1.66197096349307	-1.14671995428195	-0.241268479612806	0.0978972133359924	-0.220680387715257	-0.447593744353229	-0.235691225439789	-1.43320412707645	-2.54623656555315	-1.32271948973814	-0.847808264922519	-0.337248525901198	-0.00595825577269507	0.101281624282862	0.890781296228356	1.15080411725841	0.129557156088981	-0.175475390907801	0.361813341080619	1.53861989645589	-1.1168552097301	0.89408639360067	3
CRUK0004_SU_T1-R1	0.0673380147236183	0.787304321506199	0.823513586106364	-0.114854035968306	0.25877808360992	-0.260847295353569	0.844737570029985	1.49473613444122	-0.263195619079081	0.14194490399069	0.217431145901348	0.342516450366699	0.771158083744865	1.83191531511054	0.0847850118484385	-0.112632813331116	-0.374873628101569	0.233573537220321	0.280257601093127	0.698412578768917	0.736629144441866	0.106973865417322	1.07255466426427	0.521155194543172	0.0734721217915352	0.620982766221925	1.25165016021768	-1.24515202444505	0.148067598782819	3
CRUK0004_SU_T1-R2	0.597151319343625	0.814833752438087	0.783919981732862	-0.216882602969856	-0.16106855827412	-0.262991907954634	0.779284758332748	1.85378169829649	-0.205543925870509	0.251761094776132	0.386717104477568	0.293031234099174	0.359153033276886	0.840499580786947	0.507525905714803	0.0943175670156431	0.669725748244396	1.08872845286273	0.751491545445732	0.738727215458819	1.2624454384996	2.08621135440564	1.28433392246548	0.863895013679297	0.204762382745551	1.58751614666729	2.02626608103933	-1.21148400023805	0.831241435833637	3
